time,x,y,psi,u,v,r,p,delta,n,thrust,torque
0,1.754795,0.00002578,0,1.17941624,-0.0005787,-0.000108931,-0.00953823,-0.0366211,10.2295,41.265,1.04004
0.05,1.8137969,0.00000986,0,1.1795181,-0.00092365,-0.000162881,-0.02284751,-0.0366211,10.2295,41.24,1.0385
0.1,1.872738,-0.00003408,0,1.17935296,-0.00071511,-0.00023983,-0.03499284,-0.0366211,10.2295,41.105,1.03464
0.15,1.9317355,-0.0001,0,1.17897963,-0.00047236,-0.000347781,-0.0403913,-0.0366211,10.2295,40.925,1.03145
0.2,1.9907171,-0.00008789,0,1.17921417,-0.00064455,-0.000496748,-0.04349686,-0.0366211,10.2295,40.903,1.03126
0.25,2.0496229,-0.00010381,0,1.17908265,-0.00060064,-0.000698956,-0.04514867,-0.0366211,10.2295,40.97,1.0329
0.3,2.1086223,-0.00019775,0,1.1791244,-0.00029383,-0.000968952,-0.04603154,-0.0366211,10.2295,40.997,1.03351
0.35,2.1675669,-0.00016973,0,1.17923811,-0.00045564,-0.001323575,-0.04651157,-0.0366211,10.2295,40.928,1.03257
0.4,2.2265426,-0.0001917,0,1.17982539,-0.00058547,-0.001781728,-0.04676858,-0.0366211,10.2295,40.798,1.02986
0.45,2.2855009,-0.00026367,0,1.18020244,-0.00039335,-0.002363931,-0.04690763,-0.0366211,10.2295,40.686,1.02729
0.5,2.3445779,-0.00026367,0,1.18002386,-0.00060043,-0.003091581,-0.04698245,-0.0366211,10.2295,40.681,1.02615
0.55,2.4035779,-0.00028564,0,1.180254,-0.00059678,-0.003985937,-0.04702281,-0.0366211,10.2295,40.73,1.02703
0.6,2.4625784,-0.00033564,0,1.1801699,-0.0004964,-0.005066811,-0.03553639,-0.0366211,10.2295,40.764,1.02765
0.65,2.5215981,-0.00035762,0,1.1799932,-0.00073898,-0.00635101,-0.02102622,-0.0366211,10.2295,40.742,1.02727
0.7,2.5805847,-0.00037959,0,1.17956321,-0.00089271,-0.007850603,-0.01279009,-0.0366211,10.2295,40.791,1.02776
0.75,2.6395785,-0.00045156,0,1.17915102,-0.00057674,-0.009571107,-0.00821358,-0.0366211,10.2295,40.873,1.02968
0.8,2.6985232,-0.00049551,0,1.1787461,-0.00075834,-0.01150973,-0.00591342,-0.0366211,10.2295,40.964,1.03097
0.85,2.7574423,-0.00048945,0,1.17850387,-0.00108648,-0.013653835,-0.0046151,-0.0366211,10.2295,40.971,1.03202
0.9,2.8163407,-0.0005834,0,1.17839799,-0.00104983,-0.015979769,-0.00393175,-0.0366211,10.2295,40.983,1.03194
0.95,2.8752555,-0.00062734,0,1.17781557,-0.00095582,-0.018452221,-0.00355925,-0.0366211,10.2295,41.115,1.03385
1,2.9341716,-0.00064326,0,1.1775039,-0.00108755,-0.021024225,-0.00335919,-0.0366211,10.2295,41.349,1.0369
1.05,2.9929839,-0.00073721,0,1.17751528,-0.00091612,-0.023637891,0.00103364,-0.0366211,10.2295,41.63,1.04208
1.1,3.0518479,-0.00075918,0,1.1776062,-0.00091072,-0.026225864,0.00649884,-0.0366211,10.2295,41.835,1.04458
1.15,3.1107332,-0.00080313,0,1.1775441,-0.00085868,-0.028713483,0.01597816,-0.0366211,10.2295,42.06,1.04797
1.2,3.1696284,-0.00084707,0,1.17739565,-0.00056009,-0.031021484,0.02657379,-0.0366211,10.2295,42.249,1.05165
1.25,3.2284898,-0.00089102,0,1.17727602,-0.00059368,-0.03306909,0.0331159,-0.0366211,10.2295,42.455,1.0562
1.3,3.2873648,-0.00088496,0,1.17719819,-0.00070898,-0.034777236,0.03660032,-0.0366211,10.2295,42.498,1.05656
1.35,3.3462218,-0.00092891,0,1.17706722,-0.00045723,-0.036071676,0.03856451,-0.0366211,10.2295,42.53,1.05704
1.4,3.4050813,-0.00097285,0,1.17682951,-0.00017446,-0.036885719,0.03960127,-0.0366211,10.2295,42.592,1.05729
1.45,3.4639074,-0.0009668,-0.01150825,1.17660323,-0.00024798,-0.037162373,0.04016414,-0.0366211,10.2295,42.777,1.05961
1.5,3.5227256,-0.00096074,-0.02603025,1.1761506,-0.00011113,-0.036855721,0.04046653,-0.0366211,10.2295,43.029,1.06331
1.55,3.5815461,-0.00098271,-0.03427275,1.1768455,-0.00051804,-0.035931445,0.04062945,-0.0366211,10.2295,43.286,1.06805
