time,x,y,psi,u,v,r,p,delta,n,thrust,torque
2,5.5220511,-0.00672432,0.07465154,1.17595409,-0.00605909,0.251470003,0.08476588,-10.022,10.2295,44.181,1.07617
2.05,5.5808333,-0.00700996,0.08487113,1.17563024,-0.00615827,0.263751281,0.08476594,-10.022,10.2295,44.287,1.07748
2.1,5.6396721,-0.00731758,0.10089514,1.175642,-0.0061384,0.275939352,0.08476597,-10.022,10.2295,44.31,1.07848
2.15,5.6984076,-0.0076252,0.11644839,1.17539264,-0.00616738,0.288035738,0.08476598,-10.022,10.2295,44.282,1.07845
2.2,5.7571655,-0.00793281,0.13210837,1.17506092,-0.00657376,0.300045873,0.08476599,-10.022,10.2295,44.232,1.07954
2.25,5.8159304,-0.00824043,0.15007314,1.17471299,-0.00663352,0.311978067,0.08267333,-10.022,10.2295,44.287,1.08195
2.3,5.8746514,-0.00862002,0.16245823,1.17471956,-0.00654941,0.323842493,0.07784033,-10.022,10.2295,44.384,1.08495
2.35,5.9333749,-0.00892158,0.17760189,1.17447252,-0.00666891,0.33565024,0.06451822,-10.022,10.2295,44.448,1.08474
2.4,5.9921265,-0.00925117,0.19474964,1.17512576,-0.00656528,0.34741247,0.05542658,-10.022,10.2295,44.485,1.08447
2.45,6.0508186,-0.00958076,0.21340681,1.17500458,-0.00655611,0.359139709,0.05082432,-10.022,10.2295,44.518,1.08357
2.5,6.1096391,-0.00991035,0.23259493,1.17546803,-0.00666765,0.370841297,0.04569982,-10.022,10.2295,44.51,1.08421
2.55,6.168355,-0.01023994,0.24997521,1.17600593,-0.00683964,0.382524997,0.04365209,-10.022,10.2295,44.437,1.08369
2.6,6.2272038,-0.01059151,0.26915375,1.17597353,-0.00679513,0.394196763,0.04229808,-10.022,10.2295,44.345,1.0832
2.65,6.2860268,-0.01094307,0.2904778,1.17583682,-0.00680316,0.405860662,0.04162496,-10.022,10.2295,44.169,1.07949
2.7,6.3448267,-0.01127266,0.31067735,1.17574516,-0.00679116,0.417518916,0.04125267,-10.022,10.2295,44.088,1.07694
2.75,6.4035886,-0.01160225,0.33114676,1.17561725,-0.00677662,0.429172038,0.04105296,-10.022,10.2295,44.229,1.07817
2.8,6.4623834,-0.01195381,0.35129253,1.17566368,-0.00665736,0.440819031,0.04094573,-10.022,10.2295,44.511,1.08449
2.85,6.5211378,-0.0122834,0.37568363,1.17628004,-0.00684186,0.452457621,0.0408877,-10.022,10.2295,44.782,1.0894
2.9,6.5799328,-0.01261299,0.39936333,1.17678766,-0.00650751,0.464084473,0.04085652,-10.022,10.2295,44.903,1.09128
2.95,6.638792,-0.0129585,0.42354303,1.17725237,-0.00611534,0.475695393,0.04083968,-10.022,10.2295,44.964,1.09182
3,6.697674,-0.01324414,0.44501764,1.17798378,-0.00660606,0.487285468,0.04083061,-10.022,10.2295,45.137,1.09567
3.05,6.756544,-0.01357373,0.4730803,1.17779672,-0.00655717,0.49884915,0.04082572,-10.022,10.2295,45.226,1.09708
3.1,6.8155213,-0.0139253,0.49540554,1.17765268,-0.00623608,0.51038027,0.04082308,-10.022,10.2295,45.245,1.09842
3.15,6.8743613,-0.01421094,0.52227145,1.17761313,-0.00622247,0.521871989,0.04082166,-10.022,10.2295,45.155,1.09764
3.2,6.9332539,-0.01451856,0.55101741,1.17667107,-0.00607664,0.533316695,0.0408209,-10.022,10.2295,44.949,1.09484
3.25,6.9920885,-0.01484815,0.57659419,1.17634444,-0.00572363,0.544705855,0.04082048,-10.022,10.2295,44.765,1.09182
3.3,7.0508455,-0.01510577,0.6045081,1.17560996,-0.00596449,0.55602984,0.04082026,-10.022,10.2295,44.678,1.0899
3.35,7.1096516,-0.01538536,0.63152347,1.17586023,-0.00606127,0.567277737,0.04082014,-10.022,10.2295,44.728,1.08935
3.4,7.1683345,-0.015721,0.65946816,1.17583723,-0.00562449,0.578437162,0.04082008,-10.022,10.2295,44.974,1.09389
3.45,7.2272261,-0.01600664,0.68987997,1.17604245,-0.00565811,0.589494084,0.04082004,-10.022,10.2295,45.201,1.098
3.5,7.2859688,-0.01626426,0.72013335,1.17626481,-0.00536767,0.600432673,0.04082002,-10.022,10.2295,45.173,1.09788
3.55,7.3447928,-0.01654991,0.74946376,1.17620424,-0.00482386,0.61123518,0.04082001,-10.022,10.2295,44.908,1.09428
3.6,7.4036472,-0.01676358,0.78109969,1.17581583,-0.00474509,0.621881848,0.04082001,-10.022,10.2295,44.7,1.09171
3.65,7.4623926,-0.01697725,0.81430031,1.17533954,-0.0044573,0.632350856,0.04082,-10.022,10.2295,44.588,1.09084
3.7,7.5211431,-0.01724092,0.8461383,1.17504321,-0.00452964,0.642618305,0.04082,-10.022,10.2295,44.617,1.09143
3.75,7.5798756,-0.01743868,0.8786122,1.17451123,-0.00428877,0.652658233,0.04082,-10.022,10.2295,44.693,1.09143
3.8,7.6386288,-0.01768037,0.91327792,1.17408803,-0.00383262,0.662442667,0.04082,-10.022,10.2295,44.881,1.09335
3.85,7.6972718,-0.0178501,0.9479918,1.17395937,-0.00334921,0.671941706,0.04082,-10.022,10.2295,44.942,1.09361
3.9,7.7559687,-0.0179918,0.98061201,1.17438046,-0.00281577,0.681123638,0.04082,-10.022,10.2295,44.994,1.0942
3.95,7.8146625,-0.01811758,1.01353816,1.17439495,-0.00255267,0.689955085,0.04082,-10.022,10.2295,45.064,1.09629
4,7.8734727,-0.01824942,1.04856819,1.17497949,-0.00238594,0.69840118,0.04082,-10.022,10.2295,45.095,1.09753
4.05,7.9321467,-0.01838125,1.08596637,1.17513962,-0.00187446,0.706425788,0.04082,-10.022,10.2295,45.021,1.09708
4.1,7.9909444,-0.01845704,1.12435914,1.1751068,-0.00149609,0.713991751,0.04082,-9.96094,10.2295,44.851,1.09346
4.15,8.0496954,-0.0185169,1.16099215,1.17481058,-0.00126153,0.72106119,0.04082,-9.82666,10.2295,44.648,1.09023
4.2,8.1084633,-0.01858282,1.19743077,1.17469076,-0.00089655,0.727595837,0.04082,-9.59473,10.2295,44.445,1.08688
4.25,8.167196,-0.01859873,1.23613988,1.17452176,-0.00046606,0.733557423,0.04082,-9.26514,10.2295,44.31,1.08623
4.3,8.2259285,-0.01862071,1.27528675,1.17435401,0.00008896,0.738908107,0.04082,-8.88672,10.2295,44.277,1.08572
4.35,8.2846117,-0.01859268,1.31264376,1.17431658,0.00063534,0.743610947,0.04082,-8.38623,10.2295,44.328,1.08635
4.4,8.3433032,-0.01856465,1.34970994,1.17452619,0.00122927,0.747630403,0.04082,-7.83691,10.2295,44.386,1.08708
4.45,8.4020512,-0.01846465,1.38836955,1.17461646,0.00108623,0.750932871,0.04082,-7.23877,10.2295,44.392,1.08734
4.5,8.4607764,-0.01836465,1.42730602,1.1750009,0.00179241,0.753487212,0.04082,-6.53076,10.2295,44.348,1.08646
4.55,8.5195317,-0.01834268,1.46678707,1.17531712,0.00251321,0.755265296,0.04082,-5.7251,10.2295,44.285,1.08563
4.6,8.5783022,-0.01817676,1.50644917,1.17550404,0.00282937,0.756242511,0.04082,-4.99268,10.2295,44.285,1.08535
4.65,8.6370987,-0.01798887,1.54625222,1.17535267,0.00341991,0.756398242,0.03872738,-4.15039,10.2295,44.305,1.08638
4.7,8.6958531,-0.01781309,1.58852671,1.17558804,0.00420293,0.7557163,0.03137389,-3.40576,10.2295,44.366,1.0875
4.75,8.7546151,-0.01757745,1.62906344,1.17520408,0.00452906,0.754185297,0.017392,-2.6123,10.2295,44.516,1.09169
4.8,8.8134194,-0.01731377,1.66716041,1.1749725,0.00485338,0.751798949,0.0079259,-1.77002,10.2295,44.674,1.09495
4.85,8.8721464,-0.01709405,1.70672388,1.17527377,0.00564776,0.748556316,0.00311558,-1.00098,10.2295,44.689,1.09547
4.9,8.9308926,-0.0168084,1.74623824,1.17479551,0.00619763,0.744461967,0.00018322,-0.183105,10.2295,44.506,1.09223
4.95,8.9896659,-0.01644473,1.78600716,1.17418008,0.00692885,0.739526074,-0.00560698,0.561523,10.2295,44.345,1.08946
5,9.048369,-0.01610909,1.82332939,1.17496258,0.00751637,0.733764437,-0.01907217,1.37939,10.2295,44.278,1.08753
5.05,9.1070426,-0.0156795,1.86004231,1.17432892,0.00803404,0.727198434,-0.03326345,2.20947,10.2295,44.468,1.09077
5.1,9.1658652,-0.01527793,1.89892757,1.17439791,0.00890066,0.7198549,-0.03920988,2.94189,10.2295,44.736,1.09591
5.15,9.2245007,-0.01481045,1.93598183,1.17431464,0.00927702,0.711765918,-0.0429173,3.75977,10.2295,44.958,1.1007
5.2,9.2832404,-0.01431495,1.97281672,1.17416805,0.01046774,0.702968541,-0.0469097,4.55322,10.2295,45.092,1.10328
5.25,9.341942,-0.01380352,2.00938159,1.17420986,0.01111663,0.693504403,-0.06000585,5.35889,10.2295,45.19,1.10554
5.3,9.4006451,-0.01317618,2.04782196,1.17433686,0.01215624,0.683419249,-0.0757795,6.16455,10.2295,45.264,1.10659
5.35,9.4593625,-0.01257686,2.08170467,1.17358771,0.01285322,0.672762358,-0.0820748,6.83594,10.2295,45.416,1.10896
5.4,9.5180746,-0.0118836,2.11512537,1.17327061,0.01357167,0.661585865,-0.08634402,7.51953,10.2295,45.458,1.10808
5.45,9.5766719,-0.01119639,2.14839332,1.1727827,0.01399217,0.649943987,-0.09503223,8.12988,10.2295,45.355,1.10512
5.5,9.6353094,-0.01048722,2.18350932,1.1726958,0.01486775,0.637892172,-0.10945429,8.56933,10.2295,45.092,1.1009
5.55,9.693924,-0.00973409,2.21587881,1.17247674,0.01571928,0.625486175,-0.12219005,9.0332,10.2295,44.848,1.0973
5.6,9.7525714,-0.00890899,2.24389113,1.17273339,0.0161646,0.612781098,-0.12790836,9.375,10.2295,44.679,1.09474
5.65,9.8111753,-0.00806798,2.275505,1.17314172,0.01717023,0.599830422,-0.13118634,9.63135,10.2295,44.74,1.09656
5.7,9.8698249,-0.00720499,2.30615019,1.17322839,0.01780893,0.586685065,-0.13293101,9.80225,10.2295,44.795,1.09809
5.75,9.9285435,-0.00627002,2.33301969,1.17371826,0.01871001,0.573392508,-0.13595659,9.8999,10.2295,44.931,1.10011
5.8,9.9871958,-0.00534112,2.36408051,1.17381968,0.01913446,0.559996029,-0.14381711,9.92432,10.2295,45.08,1.1024
5.85,10.0459421,-0.00431827,2.39210887,1.17352709,0.02013979,0.546534071,-0.15807056,9.93652,10.2295,45.09,1.102
5.9,10.1046006,-0.00334541,2.41820976,1.17310683,0.02089605,0.533039795,-0.16768355,9.93652,10.2295,44.991,1.09899
5.95,10.1632644,-0.00225664,2.44359811,1.17259665,0.02143203,0.519540824,-0.17257292,9.93652,10.2295,44.972,1.09766
6,10.2218461,-0.00115196,2.46573067,1.17244222,0.02205421,0.506059195,-0.17554793,9.93652,10.2295,44.999,1.09789
6.05,10.2804642,-0.00003135,2.49414978,1.17273189,0.02282857,0.49261153,-0.17707621,9.93652,10.2295,45.06,1.09892
6.1,10.3390574,0.00111123,2.51666549,1.17361564,0.0235114,0.4792094,-0.17573124,9.93652,10.2295,45.116,1.10053
6.15,10.3977509,0.00233789,2.53870803,1.17400071,0.02444849,0.465859883,-0.16902795,9.93652,10.2295,45.256,1.10176
6.2,10.4565163,0.0035585,2.5596377,1.17416343,0.02493193,0.452566254,-0.15750842,9.93652,10.2295,45.41,1.10356
6.25,10.5152202,0.00486699,2.58486132,1.17396497,0.02531353,0.439328804,-0.14582536,9.93652,10.2295,45.386,1.10245
6.3,10.5739077,0.00613535,2.60635807,1.1735652,0.02596664,0.426145711,-0.14104931,9.93652,10.2295,45.237,1.10015
6.35,10.6325932,0.00744766,2.62520959,1.17319244,0.02653032,0.413013947,-0.13818348,9.93652,10.2295,45.173,1.09942
6.4,10.6912211,0.00879404,2.64513947,1.17294668,0.02693659,0.399930165,-0.13669996,9.93652,10.2295,45.04,1.09964
6.45,10.7498958,0.01016846,2.66706378,1.17325972,0.02743733,0.386891523,-0.135899,9.93652,10.2295,44.836,1.09827
6.5,10.8085276,0.01153682,2.68753466,1.17356271,0.02819302,0.37389643,-0.13118076,9.93652,10.2295,44.651,1.09577
6.55,10.8672246,0.01297109,2.70598969,1.17392492,0.02891848,0.360945172,-0.11831819,9.93652,10.2295,44.518,1.0928
6.6,10.9259138,0.01444326,2.72072278,1.17389365,0.029224,0.348040407,-0.10444694,9.93652,10.2295,44.546,1.09221
6.65,10.9846437,0.01594346,2.73886462,1.17355357,0.02996961,0.335187509,-0.09867369,9.93652,10.2295,44.721,1.09295
6.7,11.0433066,0.01742168,2.75351608,1.17363701,0.03056094,0.322394748,-0.09505962,9.93652,10.2295,44.901,1.09508
6.75,11.1019618,0.01897187,2.7717883,1.17347442,0.03103007,0.309673293,-0.09111748,9.93652,10.2295,44.967,1.09496
6.8,11.160651,0.02055996,2.79015186,1.17337271,0.03166083,0.297037026,-0.07804845,9.93652,10.2295,44.936,1.09433
6.85,11.2193092,0.02214199,2.80044178,1.17302077,0.03209299,0.284502161,-0.06228941,9.93652,10.2295,44.901,1.09279
6.9,11.2779631,0.02378994,2.81040328,1.17282763,0.03282778,0.272086651,-0.05600199,9.93652,10.2295,44.974,1.09406
6.95,11.3365647,0.02542197,2.82593074,1.17269836,0.03345404,0.259809388,-0.05173701,9.93652,10.2295,45.052,1.09527
7,11.3952488,0.02714795,2.84129482,1.17262811,0.03401205,0.247689206,-0.04963264,9.93652,10.2295,45.111,1.09758
7.05,11.453836,0.02886787,2.84785689,1.17255869,0.03427851,0.235743718,-0.04614688,9.93652,10.2295,45.033,1.09729
7.1,11.5124474,0.03058174,2.86088779,1.17262248,0.03503694,0.223988031,-0.04021114,9.93652,10.2295,44.879,1.09519
7.15,11.5710817,0.03231758,2.87682983,1.17227795,0.03515408,0.212433419,-0.03096379,9.93652,10.2295,44.71,1.09143
7.2,11.6296845,0.03412539,2.88824072,1.17253683,0.03522041,0.201086051,-0.02063313,9.93652,10.2295,44.552,1.08889
7.25,11.6882876,0.03586123,2.89385495,1.17266321,0.03597024,0.189945897,-0.01201158,9.93652,10.2295,44.559,1.08953
7.3,11.7469481,0.03766299,2.89684844,1.17228095,0.03656736,0.179005936,-0.00818723,9.93652,10.2295,44.712,1.09298
7.35,11.8055856,0.03951474,2.89849394,1.17227821,0.03687657,0.168251797,-0.00581233,9.93652,10.2295,44.781,1.09427
7.4,11.8641712,0.04138847,2.91087181,1.1723774,0.03729885,0.157661937,-0.00459768,9.93652,10.2295,44.755,1.09378
7.45,11.9227707,0.04325615,2.925868,1.17220205,0.03810753,0.147208429,-0.00391522,9.93652,10.2295,44.714,1.0918
7.5,11.9814138,0.04517383,2.93436463,1.17210675,0.03865056,0.136858375,-0.00355248,9.93652,10.2295,44.788,1.09227
7.55,12.0400183,0.04713545,2.93908191,1.17205466,0.03908567,0.126575892,-0.00544786,9.93652,10.2295,44.825,1.09206
7.6,12.0985902,0.04911299,2.94145789,1.1719503,0.03952101,0.116324563,-0.01739796,9.93652,10.2295,44.828,1.09209
7.65,12.1571779,0.05111855,2.94279709,1.1720453,0.03971888,0.106070157,-0.03255414,9.93652,10.2295,44.735,1.09039
7.7,12.2157962,0.05311807,2.94350247,1.17183623,0.04008405,0.095783396,-0.03851761,9.93652,10.2295,44.78,1.09139
7.75,12.2743826,0.05511758,2.94388685,1.17155606,0.04017891,0.085442495,-0.04260748,9.93652,10.2295,44.854,1.09356
7.8,12.3329375,0.05714512,2.94409332,1.171068,0.04063438,0.075035214,-0.04461763,9.93652,10.2295,44.971,1.0957
7.85,12.3914847,0.0591666,2.95571297,1.17092104,0.04073173,0.064560193,-0.04575589,9.93652,10.2295,45.073,1.09801
7.9,12.4499719,0.061204,2.97029502,1.1702928,0.04095397,0.054027384,-0.0510629,9.93652,10.2295,45.219,1.10041
7.95,12.5085493,0.06324746,2.97856989,1.16978069,0.04117305,0.043457522,-0.0616095,9.93652,10.2295,45.33,1.10187
8,12.5669939,0.06534092,2.98316729,1.16976771,0.04138186,0.032880616,-0.07217619,9.93652,10.2295,45.312,1.10085
8.05,12.6255296,0.06740635,2.98547871,1.16977258,0.04141538,0.022333608,-0.08184141,9.93652,10.2295,45.175,1.09812
8.1,12.684,0.06949375,2.9867831,1.1697726,0.04169332,0.011857393,-0.08598135,9.93652,10.2295,45.062,1.0956
8.15,12.742501,0.07157509,2.98746972,1.16964515,0.04191382,0.001493485,-0.08831116,9.93652,10.2295,45.058,1.09543
8.2,12.8009648,0.07368447,2.98784398,1.16990175,0.04213018,-0.00871935,-0.09165823,9.93652,10.2295,45.232,1.09831
8.25,12.8594456,0.07577187,2.98595236,1.16949004,0.04257636,-0.018748182,-0.10437933,9.93652,10.2295,45.442,1.10253
8.3,12.9179604,0.07793125,2.97400456,1.16982796,0.04296804,-0.028568442,-0.11995604,9.93652,10.2295,45.441,1.10348
8.35,12.9763991,0.08008457,2.95884951,1.16952308,0.04363417,-0.03816566,-0.12614458,9.93652,10.2295,45.13,1.0976
8.4,13.0349486,0.08228184,2.95288667,1.17015416,0.04408806,-0.047536298,-0.13035623,9.93652,10.2295,44.703,1.09051
8.45,13.0933601,0.08450713,2.94879713,1.17017872,0.04466469,-0.056687647,-0.13243193,9.93652,10.2295,44.483,1.08888
8.5,13.1519403,0.08675439,2.94678716,1.17012783,0.04490948,-0.065636837,-0.13360555,9.93652,10.2295,44.509,1.08929
8.55,13.2104282,0.0890456,2.94564899,1.17066173,0.04530358,-0.074409143,-0.13422882,9.93652,10.2295,44.59,1.08982
8.6,13.2689676,0.09128681,2.94504483,1.17056282,0.04553299,-0.083035759,-0.13456636,9.93652,10.2295,44.6,1.08743
8.65,13.3275154,0.09359394,2.94471759,1.17002653,0.04586944,-0.091551305,-0.13474833,9.93652,10.2295,44.557,1.08462
8.7,13.3860379,0.0958791,2.94454118,1.17021797,0.04632776,-0.099991307,-0.13484632,9.93652,10.2295,44.48,1.08211
8.75,13.4444896,0.0982082,2.94444617,1.169811,0.04635945,-0.108389864,-0.13489919,9.93652,10.2295,44.4,1.0815
8.8,13.5030285,0.10055927,2.93781332,1.16941447,0.04671505,-0.116777678,-0.13492768,9.93652,10.2295,44.24,1.07934
8.85,13.5614598,0.1028664,2.92455389,1.16948748,0.04725346,-0.125180583,-0.13494304,9.93652,10.2295,44.041,1.0769
8.9,13.6199426,0.1052455,2.91243543,1.1691784,0.0470743,-0.1336186,-0.13495132,9.93652,10.2295,43.935,1.07539
8.95,13.678368,0.10764052,2.90705146,1.16904955,0.04739154,-0.142105539,-0.13495578,9.93652,10.2295,44.008,1.07795
9,13.7368411,0.10996357,2.9039537,1.16905948,0.04781604,-0.150649085,-0.13495819,9.93652,10.2295,44.088,1.07982
9.05,13.7952812,0.11238056,2.9023061,1.16940627,0.04824869,-0.159251274,-0.1306746,9.93652,10.2295,44.228,1.08236
9.1,13.8537159,0.11482558,2.89484391,1.16954015,0.04823746,-0.167909249,-0.11804501,9.93652,10.2295,44.451,1.08419
9.15,13.9122025,0.11724258,2.88113328,1.16952571,0.0482613,-0.176616187,-0.10429979,9.93652,10.2295,44.803,1.08922
9.2,13.9706812,0.11965957,2.86877337,1.16958464,0.04863057,-0.185362279,-0.09859434,9.93652,10.2295,45.099,1.09304
9.25,14.0291666,0.1220705,2.86325873,1.16961921,0.04860728,-0.194135676,-0.09501685,9.93652,10.2295,45.388,1.09809
9.3,14.087646,0.12455341,2.85350908,1.16957033,0.04918832,-0.202923338,-0.08890211,9.93652,10.2295,45.61,1.10336
9.35,14.1461409,0.12697041,2.83859174,1.16958793,0.04979319,-0.211711746,-0.07526959,9.93652,10.2295,45.738,1.10728
9.4,14.2045947,0.12950332,2.82558713,1.17018852,0.05027023,-0.220487464,-0.06098413,9.93652,10.2295,45.795,1.10851
9.45,14.2631009,0.13203623,2.81972135,1.1703298,0.05084027,-0.229237558,-0.05498846,9.93652,10.2295,45.865,1.11069
9.5,14.3216589,0.13456309,2.80978405,1.17055084,0.0511186,-0.2379499,-0.05125406,9.93652,10.2295,45.781,1.1103
9.55,14.3802321,0.13713994,2.79476507,1.17088993,0.05144127,-0.246613384,-0.04933989,9.93652,10.2295,45.554,1.10719
9.6,14.4387501,0.13971073,2.78170581,1.17036603,0.05195488,-0.255218089,-0.03930482,9.93652,10.2295,45.259,1.10008
9.65,14.4972842,0.14233154,2.77152562,1.17016835,0.05209613,-0.263755423,-0.02487891,9.93652,10.2295,44.988,1.09414
9.7,14.5557495,0.14496826,2.75552364,1.16979583,0.0521542,-0.272218268,-0.01430199,9.93652,10.2295,44.869,1.09103
9.75,14.6142442,0.14758301,2.73998222,1.17002575,0.0518883,-0.280601139,-0.00913631,9.93652,10.2295,44.974,1.09198
9.8,14.6727285,0.1501917,2.7290313,1.16999369,0.05202443,-0.288900362,-0.0063838,9.93652,10.2295,45.186,1.0942
9.85,14.7312788,0.15275644,2.7123015,1.17036715,0.05232224,-0.29711426,-0.00486862,9.93652,10.2295,45.403,1.09635
9.9,14.7897622,0.15537119,2.69644645,1.17070828,0.05225419,-0.30524333,-0.00406909,9.93652,10.2295,45.409,1.09558
9.95,14.8483138,0.1580079,2.68059995,1.17070999,0.05246225,-0.313290394,-0.00363272,9.93652,10.2295,45.218,1.09195
10,14.9068646,0.16059462,2.66253949,1.17063448,0.05273675,-0.3212607,-0.00339898,9.93652,10.2295,44.927,1.08716
10.05,14.9653933,0.16325937,2.65010199,1.17024359,0.05276367,-0.329161943,-0.00327264,9.93652,10.2295,44.684,1.08373
10.1,15.0238841,0.16589608,2.63240951,1.17017275,0.05303099,-0.3370042,-0.00320459,9.93652,10.2295,44.564,1.0823
10.15,15.0823733,0.16855478,2.6145865,1.17019046,0.05294809,-0.344799748,-0.00316791,9.93652,10.2295,44.614,1.08301
10.2,15.1408921,0.17120742,2.59554649,1.17023396,0.05301322,-0.352562788,-0.00314813,9.93652,10.2295,44.724,1.0848
10.25,15.1993807,0.17386005,2.57614578,1.1702464,0.0528386,-0.360309052,-0.00313747,9.93652,10.2295,44.737,1.08406
10.3,15.2579141,0.17649677,2.56095516,1.1704889,0.05278724,-0.368055321,-0.00313172,9.93652,10.2295,44.679,1.08263
10.35,15.3164035,0.17910546,2.54231772,1.17049613,0.05260318,-0.375818879,-0.00312862,9.93652,10.2295,44.711,1.08321
