time,x,y,psi,u,v,r,p,delta,n,thrust,torque
0,2.3425969,0.00052129,-0.08697641,1.17922566,-0.00031107,-0.056908612,-0.003125,0.0244141,10.2295,40.675,1.01449
0.05,2.4015356,0.00049932,-0.087399,1.17921267,-0.00032314,-0.05717347,-0.003125,0.0244141,10.2295,40.685,1.01479
0.1,2.4604891,0.00049932,-0.08762531,1.17892346,-0.0003904,-0.057544463,-0.003125,0.0244141,10.2295,40.737,1.01539
0.15,2.5194442,0.00047734,-0.08774765,1.17833932,-0.00042717,-0.058030105,-0.003125,0.0244141,10.2295,40.824,1.017
0.2,2.578354,0.00045537,-0.08781353,1.17790343,-0.00066755,-0.058631353,0.00586257,0.0244141,10.2295,40.808,1.01618
0.25,2.6372256,0.0004334,-0.08784906,1.17748637,-0.00079021,-0.059340966,0.01972438,0.0244141,10.2295,40.787,1.01545
0.3,2.696076,0.00036748,-0.08786821,1.17744708,-0.00074695,-0.060143444,0.0299982,0.0244141,10.2295,40.672,1.01214
0.35,2.7549227,0.00032354,-0.08787853,1.17702543,-0.00078447,-0.061015497,0.03500003,0.0244141,10.2295,40.691,1.01183
0.4,2.8137999,0.00027959,-0.08788409,1.17668771,-0.00079123,-0.061926941,0.03766438,0.0244141,10.2295,40.906,1.01575
0.45,2.872597,0.00025762,-0.08788709,1.17629896,-0.00068451,-0.062841913,0.03913199,0.0244141,10.2295,41.2,1.02134
0.5,2.9313986,0.00021367,-0.09939696,1.17647076,-0.00065862,-0.063720246,0.03990588,0.0244141,10.2295,41.486,1.02583
0.55,2.9901996,0.0001917,-0.11391983,1.17616818,-0.00091596,-0.06451889,0.04032844,0.0244141,10.2295,42.023,1.03515
0.6,3.0490073,0.00014775,-0.1221628,1.17634789,-0.00070974,-0.065193278,0.04055473,0.0244141,10.2295,42.47,1.04283
0.65,3.1078199,0.00007578,-0.12674301,1.17609215,-0.00052552,-0.065698585,0.04067706,0.0244141,10.2295,42.539,1.04399
0.7,3.1666418,0.00008184,-0.12904515,1.17591638,-0.00059004,-0.06599083,0.04074294,0.0244141,10.2295,42.435,1.04179
0.75,3.2254274,0.00003789,-0.13034455,1.17572498,-0.00030022,-0.066027844,0.04077846,0.0244141,10.2295,42.407,1.04238
0.8,3.2842158,0.00001592,-0.13102847,1.17573289,-0.00012761,-0.065770093,0.04079761,0.0244141,10.2295,42.439,1.04293
0.85,3.3429787,0.00004395,-0.13140128,1.17511147,-0.00032843,-0.065181377,0.04080793,0.0244141,10.2295,42.568,1.04367
0.9,3.4017771,0.00002197,-0.13160152,1.17508344,-0.00035273,-0.064229408,0.04081349,0.0244141,10.2295,42.713,1.04471
0.95,3.4604586,0,-0.13170955,1.17487285,-0.00037772,-0.062886233,0.04081649,0.0244141,10.2295,42.949,1.04797
1,3.5192491,-0.00002197,-0.1317678,1.17504035,-0.00026807,-0.061128476,0.04081811,0.0244141,10.2295,43.1,1.0507
1.05,3.5779554,-0.00004395,-0.1360841,1.17498554,-0.00036684,-0.058937357,0.04081898,0.0244141,10.2295,43.199,1.0529
1.1,3.6367267,-0.00004395,-0.1487314,1.17448076,-0.00048585,-0.05629842,0.04081945,0.0244141,10.2295,43.172,1.05362
1.15,3.6954484,-0.00006592,-0.16248621,1.17439194,-0.00054003,-0.053200964,0.0408197,0,10.2295,43.086,1.05234
1.2,3.7541172,-0.00011592,-0.16819682,1.17441509,-0.00072321,-0.049637154,0.04081984,-0.0976562,10.2295,43.11,1.05282
1.25,3.8128571,-0.00013789,-0.17177709,1.17423971,-0.00073716,-0.045600864,0.04081991,-0.292969,10.2295,43.378,1.05632
1.3,3.8715707,-0.00015986,-0.17360835,1.17415529,-0.00089276,-0.041086318,0.04081995,-0.57373,10.2295,43.609,1.06085
1.35,3.930256,-0.00023184,-0.17461111,1.17405722,-0.00112483,-0.036086661,0.04081997,-0.927734,10.2295,43.762,1.06272
1.4,3.9889799,-0.00027578,-0.1751511,1.17437335,-0.00144116,-0.030592601,0.04081999,-1.37939,10.2295,43.765,1.0627
1.45,4.0476861,-0.00036973,-0.17544121,1.17479516,-0.00137157,-0.024591281,0.04081999,-1.92871,10.2295,43.685,1.0608
1.5,4.1064044,-0.00045762,-0.17559806,1.1749073,-0.001421,-0.018065538,0.03653511,-2.52686,10.2295,43.604,1.05938
1.55,4.1651768,-0.00052354,-0.17568244,1.17510618,-0.00169636,-0.010993665,0.02883145,-3.17383,10.2295,43.56,1.05793
1.6,4.223906,-0.00058945,-0.17572797,1.17512961,-0.00188038,-0.003349753,0.01889662,-3.96728,10.2295,43.491,1.05634
1.65,4.2826798,-0.00072734,-0.17575251,1.17510811,-0.00221672,0.004895372,0.00999002,-4.69971,10.2295,43.532,1.05582
1.7,4.3414464,-0.00081523,-0.17576573,1.17510225,-0.00253304,0.013772679,0.00358506,-5.50537,10.2295,43.859,1.06129
1.75,4.4001988,-0.0009751,-0.17577286,1.17552762,-0.00238595,0.023313017,0.0027342,-6.31103,10.2295,44.241,1.06783
1.8,4.4589569,-0.00110693,-0.17577671,1.17540371,-0.00281559,0.033544946,0.00817957,-7.06787,10.2295,44.402,1.07125
1.85,4.5177662,-0.0012168,-0.17577878,1.17500998,-0.00312499,0.044492482,0.01411353,-7.88574,10.2295,44.369,1.07074
1.9,4.5765005,-0.00139863,-0.17577989,1.17509719,-0.00296038,0.056172972,0.02163234,-8.6792,10.2295,44.371,1.07139
1.95,4.6352258,-0.00157441,-0.1757805,1.17521786,-0.00327112,0.068595289,0.02941805,-9.47266,10.2295,44.467,1.07369
2,4.6940037,-0.0017002,-0.17578082,1.17511286,-0.00374708,0.081758489,0.03500866,-10.2905,10.2295,44.581,1.07627
2.05,4.7527889,-0.00192598,-0.175781,1.1751096,-0.00377994,0.095651066,0.03765004,-11.0229,10.2295,44.557,1.07456
2.1,4.8114823,-0.00212979,-0.17578109,1.17515497,-0.00423188,0.110250829,0.03912946,-11.7798,10.2295,44.555,1.07305
2.15,4.8702665,-0.00233359,-0.17578114,1.17507606,-0.0045507,0.125525409,0.03991046,-12.4512,10.2295,44.583,1.07173
2.2,4.9289844,-0.00260332,-0.17149625,1.1752005,-0.0046636,0.141433334,0.04032944,-13.0127,10.2295,44.621,1.07171
2.25,4.9877621,-0.00283897,-0.1588659,1.1751472,-0.0050611,0.15792556,0.04285264,-13.562,10.2295,44.592,1.07091
2.3,5.0465194,-0.00308066,-0.14512022,1.17503068,-0.00516125,0.174947324,0.05508416,-13.9526,10.2295,44.662,1.07332
2.35,5.1052746,-0.00337236,-0.13941452,1.17475635,-0.0056414,0.192440167,0.06802993,-14.3311,10.2295,44.645,1.07332
2.4,5.1640093,-0.00364209,-0.13155199,1.17454554,-0.00574353,0.210343982,0.07597818,-14.5752,10.2295,44.596,1.07309
2.45,5.2227262,-0.00392774,-0.11709179,1.17446188,-0.00580499,0.228598948,0.08009308,-14.7949,10.2295,44.58,1.07331
2.5,5.281428,-0.00421338,-0.10234411,1.17458999,-0.00586437,0.24714724,0.08650573,-14.9292,10.2295,44.733,1.07588
2.55,5.3401625,-0.004521,-0.09609884,1.17440636,-0.00606385,0.26593443,0.10031825,-14.9658,10.2295,44.886,1.07893
2.6,5.3988804,-0.00480664,-0.0832437,1.17412617,-0.00637844,0.284910545,0.11468929,-14.978,10.2295,45.025,1.08148
2.65,5.4576064,-0.00514229,-0.06739523,1.17409188,-0.00636211,0.304030746,0.12073544,-14.978,10.2295,45,1.08131
2.7,5.5162732,-0.00547793,-0.05175013,1.17353781,-0.0067905,0.323255652,0.12449589,-14.978,10.2295,44.841,1.07941
2.75,5.5749908,-0.00580752,-0.03353283,1.17354748,-0.00670492,0.342551337,0.12642443,-14.978,10.2295,44.674,1.07811
2.8,5.6336039,-0.00615908,-0.01680837,1.17314831,-0.00663785,0.361889053,0.13428509,-14.9902,10.2295,44.704,1.08003
2.85,5.6923079,-0.00648867,0.00204315,1.17310032,-0.00703544,0.381244729,0.14814371,-14.9902,10.2295,44.811,1.08244
2.9,5.7509124,-0.00681826,0.02310073,1.17319337,-0.00709972,0.400598324,0.16016328,-14.9902,10.2295,44.961,1.08432
2.95,5.809599,-0.00719785,0.04570123,1.17300086,-0.00711031,0.419933083,0.16561209,-14.9902,10.2295,45,1.08305
3,5.8682483,-0.00754942,0.06674956,1.17284495,-0.0071195,0.439234779,0.16891614,-14.9902,10.2295,44.919,1.07997
3.05,5.9268668,-0.00792295,0.08723042,1.1729926,-0.00703413,0.458490979,0.17062558,-14.9902,10.2295,44.832,1.07828
3.1,5.9855065,-0.00826846,0.11180667,1.17320896,-0.00714135,0.477690388,0.17156336,-14.9902,10.2295,44.843,1.07976
3.15,6.0441673,-0.00862002,0.13557897,1.1734292,-0.00739498,0.49682232,0.17206709,-14.9902,10.2295,44.726,1.07955
3.2,6.1028531,-0.00897158,0.1621078,1.17363103,-0.00748119,0.515876311,0.1723384,-14.9902,10.2295,44.677,1.07965
3.25,6.1615541,-0.00939512,0.18630404,1.17360599,-0.0075397,0.5348419,0.17248488,-14.9902,10.2295,44.7,1.08004
3.3,6.2202385,-0.00974668,0.21580824,1.17366486,-0.00757892,0.553708569,0.17256373,-14.9902,10.2295,44.96,1.08323
3.35,6.2789313,-0.01014219,0.24574502,1.17374094,-0.00771166,0.572465844,0.17051365,-14.9902,10.2295,45.248,1.08755
3.4,6.3376179,-0.01051572,0.27166776,1.17375385,-0.00762724,0.591103529,0.15848039,-14.9902,10.2295,45.304,1.08777
3.45,6.3962787,-0.01091123,0.3023924,1.17368351,-0.00724923,0.609612035,0.14327933,-14.9902,10.2295,45.147,1.08627
3.5,6.4549484,-0.01128477,0.33530534,1.17397892,-0.00710647,0.627982767,0.13729168,-14.9902,10.2295,44.996,1.08503
3.55,6.5136468,-0.0116083,0.3666941,1.17416493,-0.00717596,0.646208532,0.13318877,-14.9902,10.2295,44.947,1.08409
3.6,6.5723754,-0.01197578,0.39903421,1.17441753,-0.00687067,0.664283901,0.13117159,-14.9902,10.2295,45.014,1.08284
3.65,6.6310966,-0.0123334,0.43372277,1.1748708,-0.00728659,0.682205506,0.11852137,-14.9902,10.2295,45.175,1.08457
3.7,6.6898317,-0.01263496,0.47094279,1.17500828,-0.00695109,0.699972227,0.10339321,-14.9902,10.2295,45.26,1.0857
3.75,6.7486286,-0.01308047,0.5067177,1.17503617,-0.00646974,0.717585254,0.0948224,-14.9902,10.2295,45.181,1.08566
3.8,6.8073683,-0.01336006,0.54263835,1.17474893,-0.00691029,0.735048004,0.08797279,-14.9902,10.2295,45.095,1.08549
3.85,6.8661365,-0.01366162,0.5810802,1.17433999,-0.00687141,0.752365925,0.07844574,-14.9902,10.2295,45.08,1.08767
3.9,6.924852,-0.01406319,0.62019602,1.17365166,-0.00644336,0.769546178,0.06317143,-14.9902,10.2295,45.269,1.09204
3.95,6.9835166,-0.01436475,0.65969707,1.17311796,-0.00659752,0.78659725,0.05260426,-14.9902,10.2295,45.521,1.09722
4,7.0421318,-0.01467237,0.69941024,1.17330448,-0.00638571,0.803528525,0.04731394,-14.9902,10.2295,45.618,1.09791
4.05,7.1007435,-0.01502393,0.7392308,1.17310965,-0.0060134,0.82034985,0.04429508,-14.9902,10.2295,45.557,1.09567
4.1,7.1594677,-0.01530352,0.78130399,1.17246648,-0.00595507,0.837071141,0.03370606,-14.9902,10.2295,45.513,1.09314
4.15,7.2180859,-0.01558916,0.82388347,1.17302855,-0.00577051,0.853702047,0.01898137,-14.9902,10.2295,45.519,1.0925
4.2,7.2766659,-0.01589678,0.86717863,1.17299343,-0.00520844,0.870251694,0.00824089,-14.9902,10.2295,45.551,1.09212
4.25,7.3353482,-0.01613243,0.91073562,1.1725672,-0.00476677,0.886728524,0.0029885,-14.9902,10.2295,45.598,1.09331
4.3,7.3940167,-0.01636807,0.9544802,1.17244983,-0.00486135,0.903140203,0.00018877,-14.9902,10.2295,45.405,1.08976
4.35,7.4525869,-0.01660371,1.00050704,1.17204568,-0.00416637,0.919493604,-0.00135172,-14.9902,10.2295,45.228,1.08747
4.4,7.511209,-0.01682344,1.0472639,1.17125868,-0.00415125,0.935794828,-0.00216492,-14.9902,10.2295,45.115,1.08572
4.45,7.5697726,-0.01699317,1.09479976,1.17068025,-0.00381057,0.952049242,-0.00260866,-14.9902,10.2295,45.008,1.08553
4.5,7.6282167,-0.01721289,1.1426753,1.17095813,-0.00331338,0.968261518,-0.00284638,-14.9902,10.2295,44.894,1.08473
4.55,7.6867594,-0.01733867,1.19076924,1.17074475,-0.00298402,0.984435641,-0.00297486,-14.9902,10.2295,44.904,1.08584
4.6,7.7453555,-0.01748643,1.24106743,1.17086174,-0.00213477,1.000574881,-0.00304406,-14.9902,10.2295,45.033,1.08798
4.65,7.8038589,-0.01761221,1.29416796,1.17085466,-0.00160624,1.01668174,-0.00308137,-14.9902,10.2295,45.193,1.09058
4.7,7.862417,-0.01762207,1.34592673,1.17137185,-0.00134131,1.032757855,-0.00310148,-14.9902,10.2295,45.226,1.0905
4.75,7.9209524,-0.01768799,1.39799868,1.17143682,-0.00095957,1.048803896,-0.00311232,-14.9902,10.2295,45.254,1.09081
4.8,7.9795786,-0.01775391,1.45003151,1.17118824,-0.00079044,1.064819461,0.00586941,-14.9902,10.2295,45.242,1.09022
4.85,8.0381512,-0.01774786,1.5021482,1.17111031,-0.00034772,1.080802994,0.01972807,-14.9902,10.2295,45.201,1.08983
4.9,8.096625,-0.01778575,1.55648445,1.17058607,0.0004113,1.096751743,0.03000019,-14.9902,10.2295,44.996,1.08689
4.95,8.1552155,-0.01775166,1.61114789,1.17027521,0.00095127,1.112661764,0.0350011,-14.9902,10.2295,44.887,1.08548
5,8.2136695,-0.01767364,1.66668982,1.17018662,0.00168722,1.128527983,0.03766495,-14.9902,10.2295,44.866,1.08477
5.05,8.2721645,-0.01757364,1.72472955,1.17042374,0.00221048,1.144344312,0.0391323,-14.9902,10.2295,44.941,1.08604
5.1,8.3306589,-0.01745166,1.78085595,1.17007431,0.00251385,1.160103819,0.05141449,-14.9902,10.2295,44.993,1.08769
5.15,8.3892402,-0.01730772,1.84202356,1.17058222,0.0029203,1.175798932,0.06635919,-14.9902,10.2295,45.067,1.08936
5.2,8.4477073,-0.01717588,1.90175151,1.17114704,0.00340784,1.191421666,0.07482808,-14.9902,10.2295,45.183,1.09148
5.25,8.5062856,-0.01698418,1.96162322,1.17152442,0.0038651,1.206963877,0.0795304,-14.9902,10.2295,45.365,1.09435
5.3,8.5649365,-0.01678643,2.02152465,1.17134917,0.00452169,1.22241751,0.08189832,-14.9902,10.2295,45.514,1.09779
5.35,8.6234581,-0.0165667,2.08383465,1.17176399,0.00504038,1.23777485,0.08981473,-14.9902,10.2295,45.688,1.1022
5.4,8.6820527,-0.01625303,2.14899518,1.17121602,0.00520389,1.253028762,0.10374949,-14.9902,10.2295,45.744,1.10415
5.45,8.7406432,-0.01598936,2.21059027,1.1707962,0.00567506,1.268172927,0.11623609,-14.9902,10.2295,45.519,1.10063
5.5,8.7991443,-0.01572569,2.27641981,1.17048931,0.00654408,1.283202066,0.12181779,-14.9902,10.2295,45.095,1.09312
5.55,8.8576378,-0.01536807,2.34045027,1.16985241,0.00716245,1.298112149,0.12502222,-14.9902,10.2295,44.687,1.08489
5.6,8.9161254,-0.01496651,2.40449315,1.16958553,0.0077164,1.312900588,0.12672734,-14.9902,10.2295,44.412,1.08041
5.65,8.974592,-0.01458086,2.46847965,1.16971472,0.00834149,1.327566412,0.12763893,-14.9902,10.2295,44.427,1.08057
5.7,9.0330236,-0.0141293,2.537355,1.1694478,0.00883496,1.342110404,0.12813446,-14.9902,10.2295,44.512,1.08406
5.75,9.0915468,-0.0136459,2.60499009,1.16961078,0.00932707,1.356535192,0.12839981,-14.9902,10.2295,44.553,1.0867
5.8,9.1499674,-0.01317842,2.67510413,1.16946224,0.01012465,1.370845286,0.12854336,-14.9902,10.2295,44.668,1.09053
5.85,9.2084587,-0.01268897,2.7433684,1.16971863,0.01090035,1.385047042,0.12632395,-14.9902,10.2295,44.842,1.09364
5.9,9.2669333,-0.0120836,2.81423769,1.16963889,0.01157154,1.399148542,0.12127525,-14.9902,10.2295,45.022,1.09642
5.95,9.3254694,-0.01148428,2.88768488,1.1692365,0.0125213,1.413159394,0.11486931,-14.9902,10.2295,45.265,1.09938
6,9.3839082,-0.01083497,2.95754084,1.1683496,0.01333152,1.427090435,0.10752789,-14.9902,10.2295,45.317,1.09957
6.05,9.442352,-0.01012579,3.02928608,1.16746806,0.01395077,1.440953368,0.0997148,-14.9902,10.2295,45.099,1.09442
6.1,9.5006573,-0.00938858,3.10050803,1.16705014,0.01446144,1.454760312,0.09163465,-14.9902,10.2295,44.868,1.09016
6.15,9.5589866,-0.00865743,3.1721138,1.16682578,0.0153912,1.46852332,0.08857337,-14.9902,10.2295,44.734,1.08841
6.2,9.6173037,-0.00788233,3.24654889,1.16733271,0.01617277,1.482253857,0.08250176,-14.9902,10.2295,44.698,1.08975
6.25,9.6756796,-0.00704132,3.3236596,1.16822682,0.01672781,1.495962279,0.06893593,-14.9902,10.2295,44.723,1.09076
6.3,9.734085,-0.0061503,3.39705252,1.16886674,0.01772194,1.509657326,0.05469161,-14.9902,10.2295,44.789,1.09258
6.35,9.7925606,-0.00528731,3.47273471,1.16901434,0.0186423,1.523345662,0.04871429,-14.9902,10.2295,44.884,1.094
6.4,9.8510691,-0.0043084,3.55057173,1.16921573,0.01952428,1.537031471,0.03348329,-14.9902,10.2295,45.028,1.09773
6.45,9.9095155,-0.00330753,3.62674689,1.16807283,0.02073451,1.550716118,0.01705292,-14.9902,10.2295,45.151,1.10108
6.5,9.9679294,-0.00224073,3.7053583,1.16706056,0.0213542,1.564397903,0.00776618,-14.9902,10.2295,45.181,1.10327
