time,x,y,psi,u,v,r,p,delta,n,thrust,torque
0,1.9901348,-0.00037354,-0.04394284,1.178346,-0.00098519,-0.049229217,-0.0203674,0.0244141,10.2295,41.088,1.02161
0.05,2.0490858,-0.00046748,-0.04394397,1.17846297,-0.00077162,-0.049620947,-0.0119801,0.0244141,10.2295,41.019,1.02158
0.1,2.1080026,-0.00048945,-0.04603722,1.17873238,-0.00085589,-0.049971768,-0.00815911,0.0244141,10.2295,40.991,1.02197
0.15,2.1669129,-0.0005334,-0.05809381,1.17937466,-0.0008192,-0.050274125,-0.00581182,0.0244141,10.2295,41.094,1.02382
0.2,2.225904,-0.00057734,-0.07330751,1.17977284,-0.0008084,-0.050529517,-0.00459404,0.0244141,10.2295,41.22,1.0257
0.25,2.2849069,-0.00062129,-0.07930196,1.18000861,-0.00080494,-0.050749133,-0.00391429,0.0244141,10.2295,41.247,1.02515
0.3,2.3439307,-0.00066523,-0.08340854,1.18000374,-0.00079042,-0.050953318,-0.00355175,0.0244141,10.2295,41.144,1.02288
0.35,2.402912,-0.00068721,-0.08542769,1.1800513,-0.00106278,-0.051169952,-0.00335487,0.0244141,10.2295,40.987,1.01925
0.4,2.4619323,-0.00073115,-0.08657081,1.17937868,-0.00114263,-0.051431916,-0.00324896,0.0244141,10.2295,40.884,1.01673
0.45,2.5209287,-0.0008251,-0.08717765,1.17885348,-0.00102549,-0.05177393,-0.00319182,0.0244141,10.2295,40.913,1.01672
0.5,2.5798283,-0.00086904,-0.08750632,1.17869944,-0.0010025,-0.052229101,0.00582655,0.0244141,10.2295,40.887,1.01605
0.55,2.6387251,-0.00091299,-0.08768351,1.17814784,-0.00098637,-0.052825506,0.01970497,0.0244141,10.2295,40.854,1.01532
0.6,2.6976637,-0.00095693,-0.08777893,1.1779506,-0.00086832,-0.053583155,0.02998773,0.0244141,10.2295,40.864,1.01572
0.65,2.7564936,-0.00100088,-0.08783042,1.1778304,-0.00119255,-0.05451157,0.03499438,0.0244141,10.2295,40.904,1.01595
0.7,2.815403,-0.00104482,-0.08785815,1.17783481,-0.00125289,-0.055608183,0.03766134,0.0244141,10.2295,40.921,1.01589
0.75,2.8742916,-0.00113271,-0.08787311,1.17747345,-0.00143746,-0.056857614,0.03913035,0.0244141,10.2295,40.941,1.01557
