time,x,y,psi,u,v,r,p,delta,n,thrust,torque
0,2.3444274,0.00060537,0,1.18001694,0.00072253,0.000021018,-0.00312493,-0.012207,10.2295,41.046,1.02122
0.05,2.4034502,0.00067129,0,1.18026747,0.00076564,0.000033473,-0.00312496,-0.012207,10.2295,41.126,1.02261
0.1,2.4624357,0.00071523,0,1.18019603,0.00065544,0.000052489,-0.00312498,-0.012207,10.2295,40.991,1.01893
0.15,2.5214569,0.00073115,0,1.17960055,0.00100993,0.000081054,-0.00312499,-0.012207,10.2295,40.74,1.01361
0.2,2.5804557,0.0007751,0,1.17939807,0.00093621,0.000123284,-0.00312499,-0.012207,10.2295,40.605,1.01046
0.25,2.6393705,0.00084707,0,1.17869918,0.00070013,0.000184733,-0.003125,-0.012207,10.2295,40.676,1.01235
0.3,2.6983285,0.00086299,0,1.17851925,0.00099558,0.000272754,-0.003125,-0.012207,10.2295,40.722,1.01347
0.35,2.7572205,0.00090693,0,1.17860566,0.00091829,0.000396893,-0.003125,-0.012207,10.2295,40.699,1.01281
0.4,2.8161339,0.00097285,0,1.17806366,0.00097005,0.000569301,-0.003125,-0.012207,10.2295,40.67,1.01152
0.45,2.8750773,0.0010168,0,1.17782974,0.00081919,0.000805135,0.00376996,-0.012207,10.2295,40.664,1.0105
0.5,2.933899,0.00106074,0,1.17760387,0.00067342,0.001122921,0.01708376,-0.012207,10.2295,40.731,1.01078
0.55,2.9928043,0.00107666,0,1.17754358,0.00081533,0.001544839,0.02666605,-0.012207,10.2295,40.904,1.01474
0.6,3.0516344,0.00112061,0,1.17714892,0.00082198,0.002096881,0.03391601,-0.012207,10.2295,41.098,1.01784
0.65,3.110512,0.00117061,0,1.17721614,0.00097962,0.002808854,0.03705379,-0.012207,10.2295,41.436,1.02361
0.7,3.1693351,0.00121455,0,1.17725032,0.00119771,0.003714175,0.03880428,-0.012207,10.2295,41.83,1.02961
0.75,3.2282332,0.00128652,0,1.17685582,0.00148498,0.004849445,0.03973439,-0.012207,10.2295,42.179,1.03605
0.8,3.2870791,0.0013585,0,1.17714125,0.00153928,0.006253787,0.040234,-0.012207,10.2295,42.376,1.04063
0.85,3.3459096,0.00147441,0,1.17657468,0.00160333,0.007967955,0.04050442,-0.012207,10.2295,42.491,1.04422
0.9,3.4047813,0.00154033,0,1.1764219,0.00197519,0.010033255,0.04064977,-0.012207,10.2295,42.512,1.04481
0.95,3.4635609,0.0016502,0,1.17609673,0.00181105,0.012490338,0.04072826,-0.012207,10.2295,42.619,1.04563
1,3.522376,0.00176006,0,1.17593208,0.00182573,0.015377929,0.04077054,-0.012207,10.2295,42.773,1.04718
1.05,3.5811447,0.00181992,0,1.17582452,0.00153978,0.018731615,0.04079334,-0.012207,10.2295,42.944,1.04852
1.1,3.6399519,0.00192979,0,1.17571218,0.00175223,0.02258276,0.04080563,-0.012207,10.2295,43.055,1.04965
1.15,3.6987047,0.00198965,0,1.17593211,0.00150649,0.026957673,0.04081225,-0.0244141,10.2295,43.137,1.05098
1.2,3.7575036,0.00209951,0,1.17571813,0.00162976,0.031877097,0.04081582,-0.134277,10.2295,43.074,1.04999
1.25,3.8163221,0.00216543,0,1.17561533,0.00139207,0.03735607,0.04081775,-0.317383,10.2295,42.967,1.04824
1.3,3.8750852,0.00225332,0,1.17556784,0.00119372,0.043404191,0.04081879,-0.561523,10.2295,42.957,1.04907
1.35,3.9338665,0.00229727,0,1.17560233,0.00134279,0.050026262,0.04081935,-0.915527,10.2295,43.154,1.05295
1.4,3.992629,0.00234121,0,1.17548294,0.00120701,0.057223246,0.04081965,-1.36719,10.2295,43.376,1.05704
1.45,4.0514457,0.00243516,0,1.17584827,0.00120008,0.064993457,0.04081981,-1.9043,10.2295,43.529,1.05925
1.5,4.1101929,0.00245107,0,1.17610748,0.00103702,0.073333847,0.0408199,-2.50244,10.2295,43.619,1.06036
1.55,4.1690188,0.00253897,0,1.17645439,0.00086035,0.082241283,0.04081994,-3.14941,10.2295,43.673,1.06011
1.6,4.2278411,0.00253291,0.00209263,1.17666484,0.00093297,0.091713657,0.04081997,-3.93066,10.2295,43.742,1.06094
1.65,4.28667,0.00259883,0.0141489,1.1768144,0.00051644,0.101750754,0.04081998,-4.66309,10.2295,43.823,1.06146
1.7,4.3455165,0.0026208,0.02936241,1.17717735,0.00032412,0.112354765,0.04081999,-5.46875,10.2295,43.764,1.05995
1.75,4.4043589,0.00261475,0.03535677,1.17708433,0.00038399,0.123530436,0.04082,-6.27441,10.2295,43.715,1.05898
1.8,4.463255,0.00263672,0.0394633,1.17700051,0.00037863,0.135284831,0.04082,-7.03125,10.2295,43.76,1.06099
1.85,4.5221197,0.00263672,0.04148243,1.17677911,0.00037995,0.147626773,0.04082,-7.84912,10.2295,43.865,1.06304
1.9,4.580943,0.00265869,0.04262553,1.17698018,0.00007783,0.160566028,0.04082,-8.64258,10.2295,43.937,1.06487
1.95,4.6397563,0.00268066,0.04532499,1.17685477,-0.00009977,0.174112344,0.04082,-9.42383,10.2295,43.932,1.06454
2,4.6986243,0.00265264,0.05770992,1.17678139,-0.00012119,0.188274447,0.04082,-10.2417,10.2295,43.858,1.06393
2.05,4.7574358,0.00265264,0.07310063,1.17667953,-0.00054942,0.203059117,0.04082,-10.9863,10.2295,43.844,1.06408
2.1,4.8163143,0.00260264,0.07919041,1.17679657,-0.00103958,0.218470421,0.04082,-11.8042,10.2295,43.949,1.06669
2.15,4.8751078,0.00255264,0.08334841,1.17651845,-0.00093063,0.234509181,0.04082,-12.6221,10.2295,44.093,1.06858
2.2,4.9339864,0.00248067,0.09197687,1.17664899,-0.00149735,0.251172706,0.04082,-13.3789,10.2295,44.253,1.07077
2.25,4.9927288,0.00243067,0.10636675,1.17663166,-0.00147178,0.268454787,0.04082,-14.1968,10.2295,44.345,1.071
2.3,5.051605,0.00233672,0.11908521,1.17640591,-0.00116477,0.286345924,0.04082,-14.978,10.2295,44.433,1.07169
2.35,5.1104487,0.00229277,0.13378181,1.1761681,-0.00170947,0.304833727,0.04980778,-15.7715,10.2295,44.506,1.07181
2.4,5.1692102,0.00223291,0.15091667,1.17615254,-0.0018569,0.323903417,0.0636699,-16.5649,10.2295,44.612,1.07402
