time,x,y,psi,u,v,r,p,delta,n,thrust,torque
0,2.9354546,0.00186771,0,1.17826001,0.00051463,0.000065699,-0.04557502,0,10.2295,40.968,1.0106
0.05,2.9943521,0.00191164,0,1.17830505,0.00060329,0.000101971,-0.04626062,0,10.2295,41.042,1.01242
0.1,3.0532305,0.00191164,0,1.17832099,0.00070414,0.000155952,-0.04663433,0,10.2295,41.3,1.01739
0.15,3.1121771,0.00195557,0,1.17816225,0.000761,0.000235061,-0.04683505,0,10.2295,41.756,1.02635
0.2,3.1710951,0.00200557,0,1.17795184,0.00080342,0.000349248,-0.04694334,0,10.2295,42.431,1.03747
0.25,3.229959,0.00202756,0,1.17812329,0.00092203,0.000511612,-0.04700173,0,10.2295,43.178,1.04992
0.3,3.2888621,0.00209348,0,1.17765272,0.00109875,0.000739075,-0.0470332,0,10.2295,43.733,1.05835
0.35,3.3477751,0.00213741,0,1.17710892,0.0014061,0.001053099,-0.04705016,0,10.2295,43.914,1.0638
0.4,3.4066202,0.00223134,0,1.17732046,0.00132666,0.001480392,-0.04496669,0,10.2295,43.793,1.06325
0.45,3.4654348,0.00231926,0,1.17717665,0.00136703,0.002053556,-0.0352121,0,10.2295,43.632,1.06085
0.5,3.5243399,0.00237911,0,1.17709389,0.00141882,0.002811624,-0.02060278,0,10.2295,43.547,1.05879
0.55,3.5831585,0.00244503,0,1.17699102,0.00130738,0.003800403,-0.01296779,0,10.2295,43.563,1.05811
0.6,3.6420351,0.00251096,0,1.17731876,0.00125942,0.005072572,-0.00853232,0,10.2295,43.656,1.0584
0.65,3.7009122,0.00257688,0,1.17702367,0.00145264,0.006687449,-0.00602943,0,10.2295,43.751,1.05961
0.7,3.7597462,0.0026428,0,1.17703488,0.00137068,0.00871039,-0.004702,-0.0854492,10.2295,43.731,1.05829
0.75,3.8185905,0.00273066,0,1.17711515,0.00139166,0.011211778,-0.00397265,-0.280762,10.2295,43.629,1.0565
0.8,3.8774495,0.00276857,0,1.17641786,0.001021,0.014265603,-0.0035826,-0.537109,10.2295,43.416,1.05269
0.85,3.9362782,0.00285649,0,1.17625131,0.00096853,0.017947659,0.00813663,-0.878906,10.2295,43.265,1.0512
0.9,3.9950461,0.00287843,0,1.17660241,0.0006577,0.022333424,0.02277216,-1.33057,10.2295,43.235,1.05158
