time,x,y,psi,u,v,r,p,delta,n,thrust,torque
0,2.9331352,0.00045156,0.04313792,1.17834294,0.00051664,0.038239215,-0.00821739,-0.012207,10.2295,40.851,1.01066
0.05,2.9920721,0.00046748,0.04351071,1.17817073,0.00078655,0.03750616,-0.00591548,-0.012207,10.2295,40.817,1.01104
0.1,3.0509729,0.0004834,0.04371093,1.17790528,0.00085927,0.03684177,-0.0046162,-0.012207,10.2295,40.892,1.01214
0.15,3.109873,0.00054932,0.04381896,1.1781249,0.00104999,0.036335875,-0.00393235,-0.012207,10.2295,41.228,1.01772
0.2,3.1687728,0.00057129,0.0438772,1.17792913,0.00122502,0.036072293,-0.00146695,-0.012207,10.2295,41.587,1.02231
0.25,3.2276776,0.00066523,0.04390859,1.17766248,0.00131999,0.036125261,0.01078944,-0.012207,10.2295,41.958,1.02825
0.3,3.2865547,0.00073115,0.04392551,1.177328,0.00138824,0.036556752,0.02611088,-0.012207,10.2295,42.212,1.03224
0.35,3.3454253,0.0008251,0.04393463,1.17737052,0.00156065,0.037414865,0.03216343,-0.012207,10.2295,42.407,1.03573
0.4,3.4042624,0.00086904,0.04393955,1.17703334,0.00161507,0.038733377,0.03630131,-0.012207,10.2295,42.61,1.03902
0.45,3.4631347,0.00098496,0.0439422,1.17700677,0.00161828,0.040532431,0.03833736,-0.012207,10.2295,42.844,1.04269
0.5,3.5219435,0.00104482,0.04394363,1.17669143,0.00162173,0.042820276,0.03948957,-0.012207,10.2295,42.945,1.04497
0.55,3.5808354,0.00115469,0.0439444,1.17661969,0.00155736,0.045595843,0.04010131,-0.012207,10.2295,43.068,1.04727
0.6,3.6396555,0.00124258,0.04394481,1.176367,0.0015864,0.048851911,0.04043263,-0.012207,10.2295,43.145,1.0489
0.65,3.6984587,0.0013085,0.04394504,1.17585619,0.00154199,0.05257856,0.04061125,-0.0244141,10.2295,43.175,1.05051
0.7,3.7572827,0.00140244,0.04394516,1.17591129,0.00167922,0.056766574,0.04070744,-0.12207,10.2295,43.147,1.05039
0.75,3.8160471,0.00146836,0.04394522,1.17586682,0.00180658,0.061410526,0.04075933,-0.292969,10.2295,43.249,1.05303
0.8,3.8748276,0.00157822,0.04394526,1.17536191,0.00152633,0.066511249,0.04078729,-0.549316,10.2295,43.426,1.05644
0.85,3.9336276,0.00166611,0.05545353,1.17566212,0.00138571,0.072077546,0.04080237,-0.891113,10.2295,43.584,1.05911
0.9,3.992384,0.001704,0.06997553,1.17592376,0.00116397,0.078127006,0.0408105,-1.33057,10.2295,43.579,1.05857
0.95,4.0511874,0.00176992,0.07821804,1.17581574,0.00136419,0.08468593,0.04081488,-1.85547,10.2295,43.637,1.05915
1,4.1100039,0.00183584,0.082798,1.17600175,0.00115834,0.091788449,0.04081724,-2.46582,10.2295,43.805,1.06217
1.05,4.1687826,0.00192373,0.08510001,1.17671028,0.00123418,0.099474969,0.04081851,-3.07617,10.2295,44.069,1.06749
1.1,4.2276185,0.00193965,0.08639934,1.17668134,0.00070146,0.107790165,0.0408192,-3.86963,10.2295,44.131,1.06945
1.15,4.2865121,0.00202754,0.08708322,1.17692409,0.00065203,0.11678075,0.04081957,-4.61426,10.2295,44.117,1.0693
1.2,4.345322,0.00202148,0.08745601,1.17679618,0.00066272,0.126493257,0.04081977,-5.39551,10.2295,44.136,1.06832
1.25,4.404167,0.00206543,0.08765623,1.1766188,0.00013239,0.136972034,0.04081987,-6.21338,10.2295,44.294,1.06917
1.3,4.463017,0.0020874,0.08776426,1.17662948,0.00058017,0.148257639,0.04081993,-6.97021,10.2295,44.435,1.06997
1.35,4.5218402,0.0020874,0.09210742,1.17642491,0.00031766,0.160385719,0.04081996,-7.77588,10.2295,44.474,1.0697
1.4,4.580665,0.0021374,0.10476917,1.17631,0.00003938,0.173386431,0.04081998,-8.58154,10.2295,44.365,1.06863
1.45,4.6394818,0.00210938,0.11853179,1.17638918,0.00018406,0.18728438,0.04081999,-9.35058,10.2295,44.215,1.06779
1.5,4.6983126,0.00210938,0.1242466,1.17647369,-0.00010199,0.202099003,0.03841397,-10.1807,10.2295,43.986,1.06504
1.55,4.7571147,0.00213135,0.12782914,1.17633754,-0.00050855,0.217845288,0.03778389,-10.9253,10.2295,43.917,1.06327
1.6,4.8159326,0.00208135,0.14116988,1.17623508,-0.00042404,0.234534694,0.03961356,-11.7432,10.2295,44.004,1.0643
1.65,4.8747402,0.00203135,0.15669529,1.17629987,-0.00050637,0.252176122,0.03998765,-12.561,10.2295,44.143,1.06505
1.7,4.9335597,0.00203135,0.16547813,1.17621967,-0.00089636,0.270776823,0.0404167,-13.3179,10.2295,44.281,1.06635
1.75,4.9923826,0.00198135,0.17244102,1.17621955,-0.00114633,0.290343112,0.04059435,-14.1235,10.2295,44.368,1.06783
